Date,Hour,Load shedding,Reserve shortfall,Available headroom,Over generation
2035-01-01,0,0.0,0.0,11411.174806,0.0
2035-01-01,1,0.0,0.0,12338.963291,0.0
2035-01-01,2,0.0,0.0,14653.120904,0.0
2035-01-01,3,0.0,0.0,16104.453639,0.0
2035-01-01,4,0.0,0.0,15764.984227,0.0
2035-01-01,5,0.0,0.0,16035.761094,0.0
2035-01-01,6,0.0,0.0,16160.32834,0.0
2035-01-01,7,0.0,0.0,16443.578589,0.0
2035-01-01,8,0.0,0.0,15722.363276,0.0
2035-01-01,9,0.0,0.0,15140.671259,0.0
2035-01-01,10,0.0,0.0,15871.744408,0.0
2035-01-01,11,0.0,0.0,13851.375777,0.0
2035-01-01,12,0.0,0.0,13817.620222,0.0
2035-01-01,13,0.0,0.0,15057.036576,0.0
2035-01-01,14,0.0,0.0,14349.679467,0.0
2035-01-01,15,0.0,0.0,13420.843875,0.0
2035-01-01,16,0.0,0.0,13094.466916,0.0
2035-01-01,17,0.0,0.0,15046.524789,0.0
2035-01-01,18,0.0,0.0,17067.175427,0.0
2035-01-01,19,0.0,0.0,16268.570246,0.0
2035-01-01,20,0.0,0.0,17191.525681,0.0
2035-01-01,21,0.0,0.0,17093.038913,0.0
2035-01-01,22,0.0,0.0,16708.579788,0.0
2035-01-01,23,0.0,0.0,17000.730581,0.0
2035-01-02,0,0.0,0.0,16780.038485,0.0
2035-01-02,1,0.0,0.0,17275.718794,0.0
2035-01-02,2,0.0,0.0,17164.360412,0.0
2035-01-02,3,0.0,0.0,17153.201135,0.0
2035-01-02,4,0.0,0.0,17087.760422,0.0
2035-01-02,5,0.0,0.0,17142.233797,0.0
2035-01-02,6,0.0,0.0,17072.422559,0.0
2035-01-02,7,0.0,0.0,17050.998609,0.0
2035-01-02,8,0.0,0.0,16175.071001,0.0
2035-01-02,9,0.0,0.0,16628.458574,0.0
2035-01-02,10,0.0,0.0,17322.309017,0.0
2035-01-02,11,0.0,0.0,16919.231318,0.0
2035-01-02,12,0.0,0.0,17961.239089,0.0
2035-01-02,13,0.0,0.0,18021.464828,0.0
2035-01-02,14,0.0,0.0,18026.153469,0.0
2035-01-02,15,0.0,0.0,17823.00981,0.0
2035-01-02,16,0.0,0.0,18147.234797,0.0
2035-01-02,17,0.0,0.0,18615.228637,0.0
2035-01-02,18,0.0,0.0,18733.532067,0.0
2035-01-02,19,0.0,0.0,18448.642983,0.0
2035-01-02,20,0.0,0.0,18435.382337,0.0
2035-01-02,21,0.0,0.0,18176.692206,0.0
2035-01-02,22,0.0,0.0,18556.210233,0.0
2035-01-02,23,0.0,0.0,17840.538189,0.0
2035-01-03,0,0.0,0.0,17591.578081,0.0
2035-01-03,1,0.0,0.0,17565.328007,0.0
2035-01-03,2,0.0,0.0,17610.229309,0.0
2035-01-03,3,0.0,0.0,17657.289627,0.0
2035-01-03,4,0.0,0.0,17487.121534,0.0
2035-01-03,5,0.0,0.0,16508.353821,0.0
2035-01-03,6,0.0,0.0,17116.977396,0.0
2035-01-03,7,0.0,0.0,17154.985602,0.0
2035-01-03,8,0.0,0.0,16434.542652,0.0
2035-01-03,9,0.0,0.0,16539.950146,0.0
2035-01-03,10,0.0,0.0,15722.713145,0.0
2035-01-03,11,0.0,0.0,13475.835989,0.0
2035-01-03,12,0.0,0.0,13289.880462,0.0
2035-01-03,13,0.0,0.0,15070.36651,0.0
2035-01-03,14,0.0,0.0,15006.251546,0.0
2035-01-03,15,0.0,0.0,14487.070426,0.0
2035-01-03,16,0.0,0.0,14095.100904,0.0
2035-01-03,17,0.0,0.0,14225.348554,0.0
2035-01-03,18,0.0,0.0,16496.925055,0.0
2035-01-03,19,0.0,0.0,17048.205687,0.0
2035-01-03,20,0.0,0.0,16918.18754,0.0
2035-01-03,21,0.0,0.0,16503.896716,0.0
2035-01-03,22,0.0,0.0,16077.428302,0.0
2035-01-03,23,0.0,0.0,16010.437267,0.0
2035-01-04,0,0.0,0.0,16459.347496,0.0
2035-01-04,1,0.0,0.0,16823.967652,0.0
2035-01-04,2,0.0,0.0,17016.749179,0.0
2035-01-04,3,0.0,0.0,17011.660427,0.0
