Date,Hour,TotalCosts,FixedCosts,VariableCosts,LoadShedding,OverGeneration,ReserveShortfall,RenewablesUsed,RenewablesCurtailment,Demand,Price
2019-01-01,0,2918885.17175,2770697.925324,148187.246426,0.0,1608.981306,0.0,10269.45,42.0,37081.44,78.715529
2019-01-01,1,2893643.643157,2754258.273407,139385.36975,0.0,1515.608005,0.0,11091.37,42.0,37258.98,77.662986
2019-01-01,2,2878176.856136,2735918.793215,142258.06292,0.0,1553.382323,0.0,11514.2,42.0,37300.18,77.162546
2019-01-01,3,2873498.032501,2735918.793215,137579.239286,0.0,1516.191205,0.0,11781.05,42.0,37423.51,76.783232
2019-01-01,4,2883927.818183,2747775.874015,136151.944169,0.0,1443.789672,0.0,12033.75,42.0,37895.27,76.10258
2019-01-01,5,2890553.131788,2751228.573535,139324.558253,0.0,1523.995212,0.0,12647.7,42.0,38825.08,74.450668
2019-01-01,6,2898687.67766,2751225.283535,147462.394125,0.0,1558.447364,0.0,13045.07,42.0,39910.68,72.629373
2019-01-01,7,2904379.863341,2758415.060352,145964.802989,0.0,1440.201166,0.0,13335.03,42.0,40436.58,71.825557
2019-01-01,8,2918397.724821,2756121.790744,162275.934077,0.0,1265.806311,0.0,12685.41,42.0,40950.22,71.266961
2019-01-01,9,2927130.20985,2761528.510743,165601.699107,0.0,1167.328264,0.0,12584.81,42.0,41763.45,70.088324
2019-01-01,10,2924538.217614,2768246.512934,156291.704679,0.0,171.291421,0.0,13397.91,42.0,42249.97,69.219889
2019-01-01,11,2912122.055501,2736897.910561,175224.14494,0.0,818.889204,0.0,14374.31,42.0,42296.69,68.849881
2019-01-01,12,2917679.356572,2745792.496912,171886.85966,0.0,884.37536,0.0,15044.27,262.3,41879.17,69.668987
2019-01-01,13,2912904.967064,2724725.992133,188178.974931,0.0,566.604304,0.0,15542.75,255.5,41376.35,70.40024
2019-01-01,14,2910208.471228,2721392.445543,188816.025685,0.0,858.845946,0.0,15779.29,255.5,40991.32,70.995725
2019-01-01,15,2904803.526273,2727228.373991,177575.152281,0.0,709.397586,0.0,15365.3,130.5,41015.88,70.821436
2019-01-01,16,2874556.108525,2711705.624223,162850.484301,0.0,0.0,35.735,14409.31,0.0,41842.15,68.70001
2019-01-01,17,2955777.244664,2763842.910837,191934.333827,0.0,246.649754,0.0,13248.28,100.0,44058.7,67.087255
2019-01-01,18,2953001.731036,2791882.657413,161119.073623,0.0,0.0,0.0,11725.52,0.0,45400.64,65.043174
2019-01-01,19,587965.264315,379407.686369,208557.577946,0.0,0.0,144.445,9917.58,0.0,45246.05,12.994842
2019-01-01,20,568135.514013,379391.236369,188744.277643,0.0,0.0,0.0,9669.79,0.0,44844.33,12.66906
2019-01-01,21,579234.237148,396276.309491,182957.927657,0.0,0.0,0.0,8734.66,0.0,43901.75,13.193876
2019-01-01,22,562859.213441,396273.019491,166586.19395,0.0,0.0,0.0,7793.79,0.0,42206.58,13.335817
2019-01-01,23,499238.572144,339272.609692,159965.962453,0.0,0.0,0.0,7515.39,0.0,40494.84,12.328449
2019-01-02,0,482758.267808,332554.6075,150203.660308,0.0,0.0,0.0,6986.39,0.0,39246.69,12.300611
2019-01-02,1,449909.116081,302733.587597,147175.528484,0.0,0.0,0.0,7033.83,0.0,38577.95,11.662339
2019-01-02,2,458111.016544,306935.917596,151175.098948,0.0,0.0,0.0,6546.8,0.0,38434.15,11.919374
2019-01-02,3,470496.355398,314651.197595,155845.157802,0.0,0.0,0.0,6531.14,0.0,38830.97,12.116523
2019-01-02,4,528416.404299,374315.79977,154100.604529,0.0,0.0,0.0,6674.71,0.0,40072.12,13.186635
2019-01-02,5,612259.277301,429604.705519,182654.571783,0.0,0.0,0.0,6773.41,0.0,42485.81,14.410912
2019-01-02,6,706529.768772,502195.540915,204334.227857,0.0,0.0,0.0,7036.76,0.0,45299.73,15.596777
2019-01-02,7,742171.751863,523270.294036,218901.457828,0.0,0.0,0.0,7286.15,0.0,47420.65,15.650814
2019-01-02,8,948503.28609,717356.908547,231146.377543,0.0,0.0,0.0,5943.97,0.0,48547.97,19.537445
2019-01-02,9,966842.665748,717350.838547,249491.827201,0.0,0.0,0.0,5236.19,0.0,49679.19,19.461724
2019-01-02,10,989241.532997,735693.608739,253547.924258,0.0,0.0,0.0,5765.92,0.0,50682.64,19.518351
2019-01-02,11,1026676.571233,735690.318739,290986.252494,0.0,0.0,0.0,4303.74,0.0,51256.53,20.030161
2019-01-02,12,1036626.80906,735690.318739,300936.490321,0.0,0.0,0.0,4269.36,0.0,51414.29,20.162231
2019-01-02,13,1025818.047414,735690.318739,290127.728675,0.0,0.0,0.0,5601.13,0.0,51455.22,19.936132
2019-01-02,14,1003556.19076,714609.495618,288946.695141,0.0,0.0,0.0,5730.56,0.0,51263.49,19.576431
2019-01-02,15,997279.18902,714609.495618,282669.693401,0.0,0.0,0.0,5660.97,0.0,51149.19,19.497458
2019-01-02,16,1006728.826188,743104.618739,263624.207449,0.0,0.0,0.0,6036.47,0.0,51381.54,19.593201
2019-01-02,17,1199117.891382,905701.205748,293416.685634,0.0,0.0,0.0,4678.76,0.0,52717.56,22.746081
2019-01-02,18,1213345.649791,905695.135748,307650.514043,0.0,0.0,0.0,3706.35,0.0,53277.15,22.774222
2019-01-02,19,1199070.008219,905695.135748,293374.872472,0.0,0.0,0.0,3513.13,0.0,52309.18,22.922745
2019-01-02,20,1157770.733116,890649.197827,267121.535289,0.0,0.0,0.0,3761.36,0.0,51043.85,22.681885
2019-01-02,21,986484.159171,738168.550914,248315.608257,0.0,0.0,0.0,4196.71,0.0,49194.05,20.052916
2019-01-02,22,918499.971965,717087.727793,201412.244172,0.0,0.0,0.0,4748.96,0.0,46628.21,19.698375
2019-01-02,23,855802.21311,642070.139778,213732.073332,0.0,0.0,0.0,2917.13,0.0,44287.41,19.323826
2019-01-03,0,810699.098102,601392.063268,209307.034834,0.0,0.0,70.48,2194.72,0.0,42470.6,19.088478
2019-01-03,1,750268.760847,549752.765144,200515.995703,0.0,0.0,0.0,2269.63,0.0,41445.47,18.102552
2019-01-03,2,739018.18354,540216.743121,198801.44042,0.0,0.0,0.0,2087.1,0.0,41061.86,17.997679
2019-01-03,3,736046.920998,540216.743121,195830.177877,0.0,0.0,0.0,2359.84,0.0,41019.88,17.943663
2019-01-03,4,787432.450294,604664.121217,182768.329077,0.0,0.0,0.0,2990.28,0.0,41999.32,18.748695
2019-01-03,5,893176.208391,679678.419232,213497.789159,0.0,0.0,0.0,2229.95,0.0,44024.88,20.287987
2019-01-03,6,932089.504885,679675.129232,252414.375652,0.0,0.0,0.0,2431.97,0.0,46572.45,20.013753
2019-01-03,7,937505.311665,679675.129232,257830.182433,0.0,0.0,0.0,3711.45,0.0,48255.79,19.427831
2019-01-03,8,948566.877155,697957.928039,250608.949117,0.0,0.0,0.0,4107.43,0.0,48684.84,19.483824
2019-01-03,9,936197.907816,697951.348039,238246.559777,0.0,0.0,0.0,5047.08,0.0,48896.65,19.146463
2019-01-03,10,960389.359629,761350.925,199038.434629,0.0,0.0,0.0,7777.65,0.0,49026.08,19.589357
2019-01-03,11,1079477.733806,908414.735172,171062.998634,0.0,0.0,0.0,10458.98,0.0,48540.95,22.238496
2019-01-03,12,1097467.456295,840402.41627,257065.040025,0.0,55.109541,0.0,12241.12,213.5,47492.49,23.108232
2019-01-03,13,1064008.710817,839794.55527,224214.155548,0.0,693.144518,0.0,14298.24,213.5,46312.89,22.974354
2019-01-03,14,962464.553733,749938.613371,212525.940363,0.0,691.022323,0.0,14333.63,213.5,45216.14,21.285863
2019-01-03,15,949143.898924,747889.288252,201254.610671,0.0,510.226598,0.0,14161.32,88.5,44530.4,21.314515
2019-01-03,16,960727.068782,761962.761265,198764.307517,0.0,53.953058,0.0,13368.426813,133.023187,44772.64,21.457905
2019-01-03,17,856839.60999,666883.662037,189955.947953,0.0,0.0,0.0,10160.47,0.0,46512.85,18.421568
2019-01-03,18,951094.142991,738192.495076,212901.647915,0.0,0.0,0.0,6189.8,0.0,48596.56,19.571224
2019-01-03,19,973027.471178,702083.156839,270944.314339,0.0,0.0,0.0,2855.18,0.0,48814.73,19.933071
2019-01-03,20,965124.470554,702083.156839,263041.313715,0.0,0.0,0.0,3013.91,0.0,48647.15,19.839281
2019-01-03,21,937004.020981,702083.156839,234920.864142,0.0,0.0,0.0,3539.04,0.0,47765.28,19.616843
2019-01-03,22,835028.161836,634784.138824,200244.023012,0.0,0.0,0.0,4265.75,0.0,46021.02,18.144495
2019-01-03,23,680496.30414,493719.51716,186776.786981,0.0,0.0,0.0,4074.3,0.0,44191.85,15.398683
2019-01-04,0,678092.958027,497378.922135,180714.035892,0.0,0.0,0.0,3968.55,0.0,43062.39,15.746756
2019-01-04,1,624565.253459,445739.624012,178825.629448,0.0,0.0,0.0,4186.2,0.0,42515.88,14.690164
2019-01-04,2,620801.018945,437013.55769,183787.461255,0.0,0.0,0.0,4443.98,0.0,42367.44,14.652786
2019-01-04,3,616562.115411,437010.26769,179551.847721,0.0,0.0,0.0,5010.21,0.0,42732.01,14.428577
2019-01-04,4,606282.149142,424662.090891,181620.058251,0.0,0.0,0.0,5671.86,0.0,43704.85,13.872194
2019-01-04,5,698458.736674,498768.196859,199690.539815,0.0,0.0,0.0,5423.4,0.0,46019.04,15.177603
2019-01-04,6,762099.141638,513810.84478,248288.296858,0.0,0.0,0.0,5368.57,0.0,48824.83,15.608844
2019-01-04,7,776473.036788,513807.55478,262665.482009,0.0,0.0,0.0,5610.39,0.0,50161.97,15.479317
2019-01-04,8,765388.952023,513807.55478,251581.397244,0.0,0.0,0.0,5319.59,0.0,49292.12,15.527613
2019-01-04,9,715508.581123,498761.616859,216746.964264,0.0,0.0,0.0,5428.86,0.0,47111.0,15.187718
2019-01-04,10,633553.348538,456725.966466,176827.382072,0.0,0.0,0.0,6827.09,0.0,45046.31,14.064489
2019-01-04,11,557689.866609,395988.183619,161701.682991,0.0,0.0,0.0,8404.83,0.0,42861.69,13.011383
2019-01-04,12,547355.724161,395867.075036,151488.649124,0.0,0.0,0.0,10251.0,0.0,40740.4,13.435207
2019-01-04,13,557273.240161,373996.985037,183276.255124,0.0,201.588872,0.0,11547.9,88.5,39193.19,14.218624
2019-01-04,14,548701.547183,366870.433437,181831.113746,0.0,157.433841,0.0,10512.13,88.5,37952.51,14.457583
2019-01-04,15,486381.635119,388887.564446,97494.070672,0.0,0.0,0.0,9197.55,0.0,37056.17,13.125524
2019-01-04,16,391333.41225,279040.977741,112292.434509,0.0,0.0,0.0,7446.66,0.0,36750.0,10.648528
2019-01-04,17,462186.631201,324575.178586,137611.452615,0.0,0.0,0.0,5272.19,0.0,37954.17,12.177493
2019-01-04,18,565718.145853,389842.154906,175875.990947,0.0,0.0,0.0,3435.36,0.0,40150.89,14.089803
2019-01-04,19,596655.483225,389835.574906,206819.908318,0.0,0.0,0.0,1961.07,0.0,40524.82,14.723211
2019-01-04,20,594010.36817,389835.574906,204174.793263,0.0,0.0,0.0,2294.63,0.0,40718.68,14.588154
2019-01-04,21,573950.672329,389835.574906,184115.097423,0.0,0.0,0.0,3137.75,0.0,40572.63,14.146253
2019-01-04,22,512257.236354,345636.261706,166620.974647,0.0,0.0,0.0,4399.83,0.0,39777.38,12.878104
2019-01-04,23,510837.791769,376497.657882,134340.133886,0.0,0.0,0.0,4697.24,0.0,38636.97,13.221477
2019-01-05,0,471324.933184,344191.767581,127133.165603,0.0,0.0,0.0,4975.78,0.0,37802.65,12.468039
2019-01-05,1,423770.290327,290168.683959,133601.606368,0.0,0.0,0.0,5347.09,0.0,37500.89,11.300273
2019-01-05,2,424043.763338,290165.393959,133878.36938,0.0,0.0,0.0,5333.18,0.0,37567.42,11.28754
2019-01-05,3,429071.827064,290165.393959,138906.433105,0.0,0.0,0.0,5479.79,0.0,38055.25,11.274971
2019-01-05,4,456534.41358,315073.075523,141461.338057,0.0,0.0,0.0,5575.32,0.0,38925.97,11.728273
2019-01-05,5,495636.562834,332298.854682,163337.708152,0.0,0.0,0.0,5302.06,0.0,40399.27,12.268453
2019-01-05,6,572184.893787,391540.815803,180644.077984,0.0,0.0,0.0,4969.91,0.0,42314.34,13.522246
2019-01-05,7,616669.007173,409877.005995,206792.001178,0.0,0.0,0.0,4725.55,0.0,43898.22,14.0477
2019-01-05,8,629584.023935,409873.715995,219710.30794,0.0,0.0,0.0,3953.96,0.0,43861.57,14.353887
2019-01-05,9,599483.682638,409873.715995,189609.966643,0.0,0.0,0.0,3843.14,0.0,42010.02,14.270017
2019-01-05,10,516051.236963,366952.275859,149098.961105,0.0,0.0,0.0,4775.5,0.0,39824.32,12.958193
2019-01-05,11,436812.838511,295859.64741,140953.191101,0.0,0.0,0.0,6156.76,0.0,37778.83,11.562371
2019-01-05,12,390604.804331,263653.916125,126950.888206,0.0,0.0,0.0,7409.92,0.0,36191.29,10.792785
2019-01-05,13,347701.582574,247962.531301,99739.051273,0.0,0.0,0.0,8279.84,0.0,35090.54,9.908699
2019-01-05,14,338428.553959,224807.097567,113621.456392,0.0,0.0,0.0,9154.81,0.0,34369.4,9.846798
2019-01-05,15,336649.051835,218641.379943,118007.671892,0.0,0.0,0.0,9466.17,0.0,33968.39,9.910657
2019-01-05,16,323405.662026,213332.434035,110073.227991,0.0,0.0,0.0,9273.2,0.0,33894.0,9.541679
2019-01-05,17,372331.277075,253150.801685,119180.47539,0.0,0.0,0.0,8040.24,0.0,34818.73,10.693419
2019-01-05,18,388089.233021,259439.648759,128649.584262,0.0,0.0,0.0,6810.46,0.0,36655.34,10.587522
2019-01-05,19,388803.315606,259426.488759,129376.826847,0.0,0.0,0.0,5916.1,0.0,36685.04,10.598416
2019-01-05,20,375515.300482,259426.488759,116088.811723,0.0,0.0,0.0,6716.44,0.0,36293.15,10.346727
2019-01-05,21,358646.352853,242986.836842,115659.516011,0.0,0.0,0.0,7764.38,0.0,36061.74,9.945342
2019-01-05,22,341826.331169,234219.751818,107606.579351,0.0,0.0,0.0,8507.68,0.0,35333.25,9.674353
2019-01-05,23,341996.911396,250617.855101,91379.056295,0.0,0.0,0.0,8528.71,0.0,34516.58,9.908192
2019-01-06,0,324957.91439,243491.3035,81466.61089,0.0,0.0,0.0,8565.74,0.0,33497.97,9.700824
2019-01-06,1,304916.792981,222489.811258,82426.981723,0.0,0.0,0.0,8636.51,0.0,32912.25,9.264538
2019-01-06,2,300975.627858,222489.811258,78485.8166,0.0,0.0,0.0,8412.97,0.0,32696.53,9.205124
2019-01-06,3,289475.788292,207577.799766,81897.988525,0.0,0.0,0.0,8239.94,0.0,32846.38,8.81302
2019-01-06,4,494256.110085,423647.359446,70608.750639,0.0,0.0,0.0,8090.98,0.0,33369.41,14.811653
2019-01-06,5,497849.044367,423641.289446,74207.754922,0.0,0.0,0.0,8994.11,0.0,34294.1,14.517046
2019-01-06,6,554857.85902,483194.722188,71663.136831,0.0,0.0,0.0,9826.77,0.0,35666.48,15.556844
2019-01-06,7,608863.030924,531361.425197,77501.605727,0.0,0.0,0.0,10201.22,0.0,36737.76,16.573221
2019-01-06,8,659772.331446,517633.927365,142138.40408,0.0,94.164772,0.0,10750.97,42.0,37361.9,17.658961
2019-01-06,9,641944.539589,497622.205364,144322.334225,0.0,825.687633,0.0,11309.62,42.0,36988.65,17.355176
2019-01-06,10,621863.434495,497622.205364,124241.229131,0.0,357.846366,0.0,11864.53,42.0,36089.82,17.230993
2019-01-06,11,601475.289472,466952.793549,134522.495923,0.0,1254.878488,0.0,13205.7,100.0,35467.06,16.958702
2019-01-06,12,593025.032261,475696.280333,117328.751928,0.0,1515.12076,0.0,14278.78,387.3,34979.29,16.953604
2019-01-06,13,591644.686657,479510.354903,112134.331754,0.0,551.798347,0.0,15060.84,387.3,34661.28,17.069326
2019-01-06,14,585959.476647,471933.234287,114026.24236,0.0,1170.367768,0.0,15708.19,417.8,34290.94,17.08788
2019-01-06,15,575645.016749,471947.258656,103697.758093,0.0,1255.05034,0.0,15767.31,387.3,34185.23,16.838998
2019-01-06,16,569019.220069,468250.796688,100768.423381,0.0,787.741253,0.0,15331.32,387.3,34396.09,16.543137
2019-01-06,17,586170.144235,472230.495949,113939.648286,0.0,1314.519745,0.0,14412.71,100.0,35477.13,16.522479
2019-01-06,18,616801.352195,485328.883849,131472.468347,0.0,1030.023374,0.0,13140.75,42.0,37288.04,16.541533
2019-01-06,19,642447.213915,485322.303849,157124.910067,0.0,361.698744,0.0,10737.31,42.0,37262.28,17.241221
2019-01-06,20,612754.783444,485322.303849,127432.479595,0.0,974.714875,0.0,13229.36,42.0,36578.82,16.751628
2019-01-06,21,566613.399678,461845.951934,104767.447745,0.0,1636.247424,0.0,16128.05,42.0,35402.99,16.004676
2019-01-06,22,523749.186239,449287.339452,74461.846787,0.0,1710.57823,0.0,17768.21,42.0,33530.23,15.620209
2019-01-06,23,487882.90778,423816.588397,64066.319383,0.0,1734.294345,0.0,17522.65,42.0,31444.91,15.515481
2019-01-07,0,338363.983142,272263.784457,66100.198685,0.0,1740.53777,0.0,17164.65,42.0,29951.43,11.297089
2019-01-07,1,327424.835504,267424.252135,60000.58337,0.0,1657.354288,0.0,16624.19,42.0,28888.18,11.334215
2019-01-07,2,328490.261867,268787.426034,59702.835833,0.0,1698.6199,0.0,15863.05,42.0,28509.2,11.522255
2019-01-07,3,338457.286874,274235.055157,64222.231718,0.0,1666.294306,0.0,14926.34,42.0,28448.78,11.897076
2019-01-07,4,360334.092067,282593.094757,77740.99731,0.0,1582.622681,0.0,14085.55,42.0,29234.03,12.325844
2019-01-07,5,399700.935986,309696.399949,90004.536036,0.0,1654.806147,0.0,13725.09,42.0,31171.07,12.822817
2019-01-07,6,605871.324395,502111.319173,103760.005221,0.0,1596.789914,0.0,12962.89,42.0,34165.58,17.733383
2019-01-07,7,620377.313339,505735.600997,114641.712342,0.0,1111.510554,0.0,11614.46,42.0,35608.36,17.422238
2019-01-07,8,643554.631231,517863.613188,125691.018043,0.0,738.25652,0.0,9945.55,42.0,35841.33,17.955657
2019-01-07,9,652142.004398,517857.033188,134284.97121,0.0,378.17154,0.0,8920.62,42.0,36212.97,18.00852
2019-01-07,10,622239.153812,517857.033188,104382.120625,0.0,0.0,0.0,8908.61,0.0,36721.64,16.944754
2019-01-07,11,703211.412826,573287.23974,129924.173087,0.0,170.537523,0.0,10198.52,262.3,36958.68,19.026962
2019-01-07,12,925555.497685,797520.241016,128035.256669,0.0,681.49433,0.0,11778.63,130.5,37129.58,24.927713
2019-01-07,13,900452.765173,769768.441714,130684.323459,0.0,527.20139,0.0,12752.150061,367.839939,37400.76,24.075788
2019-01-07,14,897295.633532,760909.022195,136386.611337,0.0,1146.532729,0.0,13285.29,255.5,37415.0,23.982243
2019-01-07,15,897171.867633,760671.708169,136500.159464,0.0,1206.700592,0.0,13158.32,130.5,37256.01,24.081265
2019-01-07,16,890596.114675,769584.937905,121011.17677,0.0,488.57671,0.0,12623.17,42.0,37040.13,24.044087
2019-01-07,17,831062.324399,706848.676943,124213.647456,0.0,307.241836,0.0,10566.52,42.0,37675.49,22.058434
2019-01-07,18,845108.082695,735769.241859,109338.840836,0.0,0.0,0.0,7939.3,0.0,39334.72,21.485041
2019-01-07,19,616461.064485,489236.187048,127224.877436,0.0,0.0,0.0,5613.47,0.0,39036.9,15.791753
2019-01-07,20,557423.332951,445027.003848,112396.329103,0.0,0.0,0.0,6447.63,0.0,38102.82,14.629451
2019-01-07,21,515661.548013,418713.317906,96948.230107,0.0,0.0,0.0,7595.15,0.0,36691.14,14.054116
2019-01-07,22,466227.74753,389472.56939,76755.17814,0.0,0.0,0.0,8696.16,0.0,34494.74,13.515908
2019-01-07,23,421555.155544,351091.278891,70463.876652,0.0,0.0,0.0,7919.29,0.0,32188.17,13.096587
2019-01-08,0,197922.083399,121500.599714,76421.483685,0.0,0.0,0.0,7435.58,0.0,30517.67,6.485491
2019-01-08,1,190905.92866,121500.599714,69405.328946,0.0,0.0,0.0,7211.02,0.0,29651.77,6.438264
2019-01-08,2,190641.986703,117147.298499,73494.688204,0.0,0.0,0.0,6533.59,0.0,29322.61,6.501535
2019-01-08,3,202126.725046,127740.906395,74385.81865,0.0,0.0,0.0,6018.03,0.0,29433.26,6.86729
2019-01-08,4,224957.794879,143196.378396,81761.416482,0.0,0.0,0.0,5609.5,0.0,30256.93,7.434918
2019-01-08,5,347582.502826,253785.656236,93796.84659,0.0,0.0,0.0,5211.0,0.0,32662.36,10.641684
2019-01-08,6,419289.874649,287034.580161,132255.294488,0.0,0.0,0.0,4904.69,0.0,36377.0,11.526236
2019-01-08,7,442387.736441,287021.420161,155366.316281,0.0,0.0,0.0,4748.97,0.0,37915.4,11.667759
2019-01-08,8,515926.000753,356011.164717,159914.836036,0.0,0.0,0.0,3214.21,0.0,37526.8,13.748201
2019-01-08,9,513230.951506,356005.094717,157225.856789,0.0,0.0,0.0,2757.01,0.0,37426.38,13.71308
2019-01-08,10,478121.845637,335191.923169,142929.922467,0.0,0.0,0.0,3883.88,0.0,37546.53,12.734115
2019-01-08,11,459735.992934,317401.19822,142334.794714,0.0,0.0,0.0,5118.82,0.0,37579.85,12.233577
2019-01-08,12,673276.898985,548253.573188,125023.325796,0.0,0.0,0.0,7370.73,0.0,37548.28,17.930965
2019-01-08,13,665144.851388,513872.662556,151272.188833,0.0,166.428041,0.0,9506.43,42.0,37543.63,17.716583
2019-01-08,14,648446.28957,493881.304366,154564.985205,0.0,925.933646,0.0,10651.07,100.0,37387.02,17.344156
2019-01-08,15,625863.304173,485542.513965,140320.790207,0.0,1207.776258,0.0,11536.6,42.0,37056.94,16.889233
2019-01-08,16,618176.049775,486295.758364,131880.29141,0.0,865.791098,0.0,11752.63,42.0,36954.54,16.728014
2019-01-08,17,646107.408251,493013.760556,153093.647695,0.0,1132.766108,0.0,10972.43,42.0,37892.48,17.051072
2019-01-08,18,721202.910504,557790.276077,163412.634428,0.0,472.150931,0.0,9493.17,42.0,39711.75,18.160945
2019-01-08,19,699718.961936,566055.188138,133663.773797,0.0,0.0,0.0,6593.81,0.0,39624.39,17.658795
2019-01-08,20,527810.987698,398648.043914,129162.943783,0.0,0.0,0.0,7631.49,0.0,38957.55,13.548362
2019-01-08,21,484448.968703,379128.945124,105320.023579,0.0,0.0,0.0,9380.37,0.0,37528.89,12.908694
2019-01-08,22,420925.01885,337131.550965,83793.467885,0.0,0.0,0.0,10835.39,0.0,35294.83,11.925968
2019-01-08,23,375780.071024,301065.09894,74714.972084,0.0,0.0,0.0,10826.67,0.0,33093.63,11.355057
2019-01-09,0,356894.40263,290321.880677,66572.521953,0.0,0.0,0.0,10635.95,0.0,31703.3,11.257327
2019-01-09,1,213396.196254,145800.759493,67595.436761,0.0,0.0,0.0,10567.17,0.0,31022.76,6.878698
2019-01-09,2,217540.054097,145800.759493,71739.294603,0.0,0.0,0.0,10249.28,0.0,30920.24,7.035523
2019-01-09,3,233351.491495,161113.829813,72237.661682,0.0,0.0,0.0,10093.07,0.0,31153.66,7.49034
2019-01-09,4,251595.162201,177049.625211,74545.53699,0.0,0.0,0.0,9842.85,0.0,32103.95,7.836891
2019-01-09,5,347971.931383,258410.531062,89561.40032,0.0,0.0,0.0,9050.81,0.0,34663.82,10.038476
2019-01-09,6,483427.945143,349851.320995,133576.624149,0.0,0.0,0.0,8493.06,0.0,38875.84,12.435177
2019-01-09,7,508499.577248,349844.740995,158654.836253,0.0,0.0,0.0,7830.7,0.0,40521.49,12.548886
2019-01-09,8,521588.770126,365863.184886,155725.58524,0.0,0.0,0.0,7058.62,0.0,40183.38,12.980211
2019-01-09,9,520204.542804,365856.604886,154347.937918,0.0,0.0,0.0,6511.73,0.0,39893.05,13.039979
2019-01-09,10,450543.583131,295041.34687,155502.23626,0.0,0.0,0.0,7222.43,0.0,39415.93,11.430495
2019-01-09,11,423726.234422,287766.389762,135959.84466,0.0,0.0,0.0,7181.65,0.0,38633.87,10.96774
2019-01-09,12,385263.737295,271326.737845,113936.99945,0.0,0.0,0.0,8115.62,0.0,37742.69,10.207639
2019-01-09,13,332329.216007,227127.424645,105201.791362,0.0,0.0,0.0,9159.15,0.0,37179.91,8.938408
2019-01-09,14,312193.010742,210048.437461,102144.573281,0.0,0.0,0.0,9580.84,0.0,36672.13,8.513086
2019-01-09,15,309153.049153,205498.397462,103654.651691,0.0,0.0,0.0,9927.36,0.0,36349.96,8.504908
2019-01-09,16,325192.764102,220968.270711,104224.493391,0.0,0.0,0.0,10119.07,0.0,36610.22,8.882568
2019-01-09,17,400189.123074,290229.009736,109960.113338,0.0,0.0,0.0,8720.13,0.0,38087.19,10.507184
2019-01-09,18,468940.697257,318727.679086,150213.018171,0.0,0.0,0.0,7378.36,0.0,40519.8,11.573125
2019-01-09,19,494618.438599,318714.519086,175903.919513,0.0,0.0,0.0,6244.45,0.0,40951.2,12.07824
2019-01-09,20,496355.581469,318714.519086,177641.062382,0.0,0.0,0.0,6154.84,0.0,40787.51,12.169303
2019-01-09,21,478186.817648,318714.519086,159472.298561,0.0,0.0,0.0,6278.26,0.0,39841.12,12.002344
2019-01-09,22,429187.04551,300438.30028,128748.74523,0.0,0.0,0.0,6558.75,0.0,37757.96,11.366796
2019-01-09,23,360256.880259,237899.506888,122357.373371,0.0,0.0,0.0,5480.73,0.0,35753.96,10.075999
2019-01-10,0,355801.131081,242101.836887,113699.294194,0.0,0.0,0.0,4594.16,0.0,34566.11,10.293352
2019-01-10,1,353332.436515,242098.546887,111233.889628,0.0,0.0,0.0,4037.9,0.0,34022.02,10.385404
2019-01-10,2,355987.79903,242098.546887,113889.252143,0.0,0.0,0.0,3646.09,0.0,33842.55,10.518941
2019-01-10,3,370376.116724,250842.03367,119534.083054,0.0,0.0,0.0,3369.67,0.0,34153.78,10.844367
2019-01-10,4,466470.097223,353200.059455,113270.037768,0.0,0.0,0.0,3215.23,0.0,35209.48,13.248423
2019-01-10,5,554391.798255,426424.288902,127967.509353,0.0,0.0,0.0,3301.55,0.0,37864.62,14.64142
2019-01-10,6,657066.44136,474587.701911,182478.739449,0.0,0.0,0.0,3469.86,0.0,41955.08,15.661189
2019-01-10,7,665391.484931,474584.921911,190806.56302,0.0,0.0,0.0,3673.48,0.0,43286.57,15.371777
2019-01-10,8,638329.931806,474584.921911,163745.009895,0.0,0.0,0.0,4878.18,0.0,42544.97,15.003652
2019-01-10,9,588965.522493,434534.871463,154430.65103,0.0,0.0,0.0,6653.03,0.0,41963.28,14.035259
2019-01-10,10,2964996.648491,2851974.980185,113021.668306,0.0,0.0,0.0,9622.34,0.0,41345.34,71.712958
2019-01-10,11,2964108.527832,2812239.970333,151868.5575,0.0,576.998609,0.0,11240.57,42.0,40512.83,73.164687
2019-01-10,12,2931489.008615,2781445.725916,150043.282698,0.0,1478.688809,0.0,12864.75,100.0,39630.87,73.969837
2019-01-10,13,2925824.404615,2777724.976449,148099.428167,0.0,494.723429,0.0,12963.36,387.3,38939.94,75.136849
2019-01-10,14,2911000.228435,2768586.319872,142413.908564,0.0,1091.53861,0.0,13569.54,387.3,38381.15,75.844529
2019-01-10,15,2897780.297625,2768923.826752,128856.470873,0.0,1147.908761,0.0,13693.084197,105.095803,38146.24,75.965031
2019-01-10,16,2906951.721637,2768670.949317,138280.77232,0.0,675.663932,0.0,12848.54,387.3,38548.97,75.409323
2019-01-10,17,2919741.165323,2773204.169317,146536.996006,0.0,1159.074995,0.0,12636.03,100.0,39768.88,73.417737
2019-01-10,18,2951790.46511,2794459.115383,157331.349728,0.0,839.716463,0.0,12134.89,42.0,41670.68,70.836148
2019-01-10,19,2956741.975544,2794449.245383,162292.730161,0.0,616.037896,0.0,11399.89,42.0,41831.12,70.682831
